player_name,team_abbreviation,age,player_height_cm,player_weight_kg,college,country_born_in,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Victor Oladipo,MIA,30,193.04,96.615096,1,1,2013,1,2,8,12.4,2.9,3.5,-1.4,0.017,0.11,0.247,0.608,0.277
Giannis Antetokounmpo,MIL,27,210.82,109.769264,0,0,2013,1,15,67,29.9,11.6,5.8,8,0.06,0.267,0.34,0.633,0.304
CJ McCollum,NOP,30,190.5,86.18248,1,1,2013,1,10,62,22.1,4.3,5.1,-1.9,0.024,0.101,0.269,0.553,0.238
Tony Snell,NOP,30,198.12,96.615096,1,1,2013,1,20,53,3.5,1.9,0.5,-7.8,0.018,0.107,0.099,0.541,0.047
Nerlens Noel,NYK,28,210.82,99.79024,1,1,2013,1,6,25,3.4,5.6,0.9,-5.7,0.084,0.161,0.072,0.581,0.06
Mike Muscala,OKC,30,208.28,108.86208,1,1,2013,2,44,43,8,3,0.5,1.8,0.032,0.166,0.198,0.63,0.06
Cody Zeller,POR,29,210.82,108.86208,1,1,2013,1,4,27,5.2,4.6,0.8,-2.1,0.128,0.212,0.153,0.627,0.087
Ben McLemore,POR,29,190.5,88.45044,1,1,2013,1,7,64,10.2,1.6,0.9,-13.1,0.009,0.072,0.207,0.567,0.077
Alex Len,SAC,29,213.36,113.398,1,0,2013,1,5,39,6,4.1,1.2,-5.5,0.076,0.168,0.165,0.577,0.104
Rudy Gobert,UTA,30,215.9,117.026736,0,0,2013,1,27,66,15.6,14.7,1.1,9.6,0.114,0.312,0.166,0.732,0.052
Kentavious Caldwell-Pope,WAS,29,195.58,92.532768,1,1,2013,1,8,77,13.2,3.4,1.9,-4.7,0.018,0.093,0.185,0.568,0.09
Raul Neto,WAS,30,187.96,81.64656,0,0,2013,2,47,70,7.5,1.9,3.1,-3.3,0.01,0.089,0.18,0.538,0.228
Clint Capela,ATL,28,208.28,116.119552,0,0,2014,1,25,74,11.1,11.9,1.2,3.3,0.133,0.284,0.149,0.604,0.062
Bogdan Bogdanovic,ATL,29,198.12,102.0582,0,0,2014,1,27,63,15.1,4,3.1,4.5,0.016,0.116,0.212,0.562,0.152
Joe Harris,BKN,30,198.12,99.79024,1,1,2014,2,33,14,11.3,4,1,1.1,0.012,0.109,0.146,0.624,0.047
Jabari Parker,BOS,27,200.66,111.13004,1,1,2014,1,2,12,4.4,2.3,0.5,-0.8,0.042,0.18,0.191,0.632,0.094
Marcus Smart,BOS,28,193.04,99.79024,1,1,2014,1,6,71,12.1,3.8,5.9,9.3,0.018,0.093,0.179,0.54,0.245
Nik Stauskas,BOS,28,198.12,93.893544,1,0,2014,1,8,8,2.3,0.4,0.3,19.3,0.024,0.049,0.184,0.541,0.065
Zach LaVine,CHI,27,195.58,90.7184,1,1,2014,1,13,67,24.4,4.6,4.5,-0.9,0.01,0.121,0.284,0.605,0.207
Spencer Dinwiddie,DAL,29,198.12,97.52228,1,1,2014,2,38,67,13.7,4.2,5.2,-1,0.022,0.111,0.208,0.543,0.27
